"","Player","Pos","Age","Tm"
"1","Precious Achiuwa","PF",21,"MIA"
"2","Jaylen Adams","PG",24,"MIL"
"3","Steven Adams","C",27,"NOP"
"4","Bam Adebayo","C",23,"MIA"
"5","LaMarcus Aldridge","C",35,"TOT"
"6","LaMarcus Aldridge","C",35,"SAS"
"7","LaMarcus Aldridge","C",35,"BRK"
"8","Ty-Shon Alexander","SG",22,"PHO"
"9","Nickeil Alexander-Walker","SG",22,"NOP"
"10","Grayson Allen","SG",25,"MEM"
"11","Jarrett Allen","C",22,"TOT"
"12","Jarrett Allen","C",22,"BRK"
"13","Jarrett Allen","C",22,"CLE"
"14","Al-Farouq Aminu","PF",30,"TOT"
"15","Al-Farouq Aminu","PF",30,"ORL"
"16","Al-Farouq Aminu","PF",30,"CHI"
"17","Kyle Anderson","PF",27,"MEM"
"18","Giannis Antetokounmpo","PF",26,"MIL"
"19","Kostas Antetokounmpo","PF",23,"LAL"
"20","Thanasis Antetokounmpo","SF",28,"MIL"
"21","Carmelo Anthony","PF",36,"POR"
"22","Cole Anthony","PG",20,"ORL"
"23","OG Anunoby","SF",23,"TOR"
"24","Ryan Arcidiacono","PG",26,"CHI"
"25","Trevor Ariza","SF",35,"MIA"
"26","D.J. Augustin","PG",33,"TOT"
"27","D.J. Augustin","PG",33,"MIL"
"28","D.J. Augustin","PG",33,"HOU"
"29","Deni Avdija","SF",20,"WAS"
"30","Deandre Ayton","C",22,"PHO"
"31","Udoka Azubuike","C",21,"UTA"
"32","Dwayne Bacon","SG",25,"ORL"
"33","Marvin Bagley III","PF",21,"SAC"
"34","LaMelo Ball","PG",19,"CHO"
"35","Lonzo Ball","PG",23,"NOP"
"36","Mo Bamba","C",22,"ORL"
"37","Desmond Bane","SG",22,"MEM"
"38","Harrison Barnes","PF",28,"SAC"
"39","RJ Barrett","SG",20,"NYK"
"40","Will Barton","SF",30,"DEN"
"41","Keita Bates-Diop","SF",25,"SAS"
"42","Nicolas Batum","SF",32,"LAC"
"43","Aron Baynes","C",34,"TOR"
"44","Kent Bazemore","SF",31,"GSW"
"45","Darius Bazley","PF",20,"OKC"
"46","Bradley Beal","SG",27,"WAS"
"47","Malik Beasley","SG",24,"MIN"
"48","Jordan Bell","C",26,"TOT"
"49","Jordan Bell","C",26,"WAS"
"50","Jordan Bell","C",26,"GSW"
"51","DeAndre' Bembry","SF",26,"TOR"
"52","Dāvis Bertāns","PF",28,"WAS"
"53","Patrick Beverley","PG",32,"LAC"
"54","Saddiq Bey","SF",21,"DET"
"55","Tyler Bey","SF",22,"DAL"
"56","Khem Birch","C",28,"TOT"
"57","Khem Birch","C",28,"ORL"
"58","Khem Birch","C",28,"TOR"
"59","Goga Bitadze","C",21,"IND"
"60","Bismack Biyombo","C",28,"CHO"
"61","Nemanja Bjelica","PF",32,"TOT"
"62","Nemanja Bjelica","PF",32,"SAC"
"63","Nemanja Bjelica","PF",32,"MIA"
"64","Eric Bledsoe","SG",31,"NOP"
"65","Keljin Blevins","SF",25,"POR"
"66","Bogdan Bogdanović","SG",28,"ATL"
"67","Bojan Bogdanović","SF",31,"UTA"
"68","Bol Bol","PF",21,"DEN"
"69","Marques Bolden","C",22,"CLE"
"70","Jordan Bone","PG",23,"ORL"
"71","Isaac Bonga","SF",21,"WAS"
"72","Devin Booker","SG",24,"PHO"
"73","Chris Boucher","C",28,"TOR"
"74","Brian Bowen","SF",22,"IND"
