Players,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Doug Christie,40:29,.799,.750,.167,.333,0.0,9.4,6.0,37.9,1.3,1.6,12.7,9.6,168,93,11.7
Keon Clark,39:36,.571,.500,.000,.286,4.1,30.6,21.0,6.4,2.7,9.5,0.0,19.2,125,73,9.3
Peja Stojaković,32:04,.857,.857,.357,.000,0.0,11.8,7.5,4.8,0.0,0.0,6.7,22.9,147,95,9.4
Mike Bibby,27:04,1.000,1.000,.222,.000,0.0,3.5,2.2,22.4,4.0,0.0,18.2,19.9,155,93,14.5
Vlade Divac,25:50,.753,.750,.000,1.500,6.4,10.9,9.2,18.3,0.0,2.4,31.1,18.1,119,95,3.7
Jim Jackson,24:54,.364,.364,.091,.000,6.6,7.5,7.2,5.0,2.1,0.0,21.4,27.4,65,93,-16.0
Hedo Türkoğlu,22:29,.833,.833,.000,.000,0.0,4.3,2.7,6.2,0.0,0.0,25.0,17.8,114,101,0.4
Bobby Jackson,17:32,.500,.500,.250,.000,18.4,5.2,10.0,0.0,0.0,0.0,11.1,24.4,98,100,-8.0
Mateen Cleaves,5:01,.000,.000,.000,.000,0.0,18.8,12.0,20.9,0.0,0.0,66.7,29.3,22,91,-27.0
Damon Jones,5:01,.375,.375,1.000,.000,0.0,0.0,0.0,26.4,10.7,0.0,20.0,48.8,71,81,-4.0
