Players,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Mike Bibby,33:56,.636,.533,.200,.467,7.1,5.6,6.3,20.3,5.8,0.0,5.2,24.3,139,81,12.6
Chris Webber,32:02,.684,.692,.000,.154,7.5,27.0,18.3,23.1,1.6,2.0,12.6,21.5,129,81,10.8
Doug Christie,31:36,.714,.714,.429,.000,0.0,6.0,3.3,33.8,0.0,0.0,30.0,13.6,119,93,4.0
Peja Stojaković,31:20,.711,.688,.375,.125,3.9,15.5,10.3,9.7,0.0,0.0,5.6,25.0,135,90,7.7
Vlade Divac,27:01,.250,.250,.000,.000,4.4,7.1,5.9,20.9,1.8,4.8,11.1,14.5,83,85,0.9
Jim Jackson,20:31,.581,.500,.111,.333,6.0,33.6,21.3,6.6,2.5,0.0,8.8,24.5,117,78,4.6
Keon Clark,18:21,.571,.571,.000,.286,20.0,32.0,26.7,7.5,0.0,0.0,0.0,19.0,135,84,3.0
Damon Jones,10:35,.500,.500,.667,.000,0.0,0.0,0.0,10.5,4.5,0.0,0.0,11.8,117,86,4.0
Lawrence Funderburke,10:35,.543,.000,.000,4.000,10.9,8.7,9.7,0.0,0.0,0.0,0.0,10.9,139,92,-1.4
Mateen Cleaves,8:01,.250,.250,.000,.000,0.0,0.0,0.0,30.0,0.0,0.0,33.3,32.5,52,95,-22.7
Gerald Wallace,8:01,.500,.500,.000,.000,0.0,0.0,0.0,0.0,6.2,0.0,33.3,16.3,60,82,-5.8
Hedo Türkoğlu,8:01,.717,.750,.250,.500,0.0,48.0,26.7,42.9,0.0,0.0,0.0,26.5,152,78,15.5
