Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Kevin Huerter,33:41,10,15,.667,2,5,.400,2,3,.667,0,1,1,3,0,0,2,4,24,+12
Bogdan Bogdanović,32:40,9,17,.529,6,11,.545,2,2,1.000,0,7,7,7,1,1,2,4,26,+18
Solomon Hill,29:52,2,6,.333,1,5,.200,2,2,1.000,1,3,4,2,0,0,1,0,7,+19
Clint Capela,28:42,5,8,.625,0,0,,4,6,.667,2,8,10,0,2,6,2,2,14,+20
Brandon Goodwin,27:49,4,10,.400,2,6,.333,0,0,,0,1,1,5,1,0,2,4,10,+11
Lou Williams,30:19,8,15,.533,1,1,1.000,2,3,.667,0,4,4,8,1,1,1,2,19,+19
Tony Snell,22:16,4,5,.800,1,1,1.000,1,1,1.000,0,4,4,0,0,0,0,3,10,+11
Onyeka Okongwu,19:18,5,6,.833,0,0,,1,2,.500,3,6,9,0,2,1,2,3,11,+3
Skylar Mays,6:45,2,4,.500,0,0,,0,0,,0,2,2,0,2,0,0,0,4,+5
Nathan Knight,6:12,0,1,.000,0,0,,1,2,.500,0,0,0,0,1,0,1,0,1,-3
Bruno Fernando,2:26,0,0,,0,0,,0,0,,0,0,0,0,0,0,2,1,0,0
