Players,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Bogdan Bogdanović,35:53,.447,.447,.526,.000,0.0,21.3,10.2,28.3,1.4,0.0,20.8,29.6,75,106,-3.9
Clint Capela,28:21,.375,.375,.000,.000,17.6,38.5,27.6,14.8,0.0,2.9,5.9,26.5,87,103,-1.8
Brandon Goodwin,27:56,.214,.214,.429,.000,0.0,3.9,1.9,43.2,1.8,0.0,12.5,25.3,57,108,-9.7
Kevin Huerter,27:27,.689,.650,.300,.200,3.6,0.0,1.9,15.5,3.6,0.0,15.5,20.8,117,105,4.3
John Collins,27:12,.788,.750,.125,.250,7.4,24.1,15.3,0.0,1.8,3.0,0.0,14.4,161,102,7.2
Solomon Hill,29:23,.000,.000,.667,.000,0.0,18.6,8.9,9.9,3.4,0.0,25.0,6.0,22,102,-5.5
Danilo Gallinari,23:45,.754,.500,.500,2.250,4.2,4.6,4.4,7.0,0.0,0.0,11.2,16.7,145,112,1.4
Onyeka Okongwu,13:25,1.000,1.000,.000,.000,0.0,24.4,11.7,0.0,3.7,6.2,40.0,16.5,92,94,0.3
Kris Dunn,13:11,.000,.000,.200,.000,0.0,8.3,4.0,0.0,3.8,6.3,16.7,20.1,0,97,-19.1
Skylar Mays,6:53,.000,.000,.500,.000,0.0,0.0,0.0,0.0,7.2,0.0,0.0,12.9,0,97,-12.4
Bruno Fernando,3:17,,,,,0.0,0.0,0.0,0.0,0.0,0.0,100.0,13.5,0,113,-22.5
Nathan Knight,3:17,.725,.000,1.000,4.000,0.0,66.5,31.8,0.0,0.0,0.0,0.0,37.2,163,100,20.6
