Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
De'Andre Hunter,33:26,4,13,.308,3,9,.333,0,0,,2,6,8,3,1,0,0,6,11,+3
Cam Reddish,31:58,5,11,.455,2,7,.286,8,10,.800,1,2,3,1,0,1,1,3,20,+3
Trae Young,31:56,8,18,.444,0,4,.000,14,16,.875,3,3,6,11,0,0,5,0,30,+5
John Collins,30:34,12,20,.600,2,5,.400,4,5,.800,4,6,10,1,1,0,1,4,30,+5
Clint Capela,19:56,3,7,.429,0,0,,1,2,.500,3,9,12,0,0,1,1,0,7,+1
Bogdan Bogdanović,28:43,7,14,.500,6,11,.545,2,2,1.000,0,4,4,1,1,0,0,2,22,-6
Kevin Huerter,21:05,3,6,.500,1,2,.500,0,0,,1,1,2,4,1,0,0,0,7,-10
Solomon Hill,16:43,3,6,.500,3,5,.600,0,0,,1,1,2,0,0,0,1,3,9,-9
Rajon Rondo,16:04,0,2,.000,0,2,.000,0,0,,1,1,2,6,1,0,2,1,0,-9
Bruno Fernando,6:26,0,0,,0,0,,0,0,,1,3,4,0,0,0,1,0,0,-4
Danilo Gallinari,3:09,2,2,1.000,1,1,1.000,0,0,,0,1,1,0,0,0,0,0,5,+1
