Players,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Kevin Huerter,36:42,.962,.944,.889,.222,0.0,7.4,4.8,15.3,0.0,0.0,16.8,14.6,151,126,3.8
Trae Young,36:08,.662,.467,.267,.933,0.0,5.0,3.3,50.7,0.0,4.5,24.9,35.1,125,124,0.0
John Collins,34:21,.745,.682,.545,.364,5.0,15.8,12.1,16.6,0.0,7.1,23.9,22.0,120,118,2.6
Cam Reddish,30:14,.727,.667,.667,.333,0.0,15.0,9.8,4.3,0.0,0.0,12.7,11.7,124,123,-2.7
Clint Capela,28:38,.757,.769,.000,.385,18.0,41.1,33.1,0.0,0.0,11.4,6.2,25.5,143,106,6.2
Danilo Gallinari,24:35,.956,.917,.833,.500,0.0,18.4,12.1,22.8,0.0,0.0,21.5,17.1,151,121,5.6
Tony Snell,17:51,.750,.750,1.000,.000,0.0,10.1,6.6,14.7,0.0,4.6,0.0,10.1,155,122,5.6
Rajon Rondo,11:52,.333,.333,.333,.000,0.0,0.0,0.0,21.3,4.0,0.0,25.0,15.2,81,120,-8.1
Solomon Hill,11:43,.800,.800,.800,.000,0.0,7.7,5.1,13.8,0.0,0.0,0.0,19.2,149,126,5.9
Onyeka Okongwu,7:56,.452,.500,.000,1.500,0.0,22.8,14.9,0.0,0.0,0.0,0.0,18.9,89,119,-18.3
