Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Kevin Huerter,40:57,5,13,.385,1,9,.111,2,3,.667,0,4,4,4,6,0,4,3,13,-4
John Collins,37:01,13,21,.619,2,3,.667,6,7,.857,3,7,10,1,1,3,1,3,34,+7
Trae Young,35:50,3,14,.214,2,8,.250,7,7,1.000,0,8,8,9,2,0,7,4,15,+9
Clint Capela,35:37,9,17,.529,0,0,,2,3,.667,9,5,14,1,1,3,0,2,20,-1
Tony Snell,34:05,3,6,.500,2,5,.400,0,0,,1,3,4,0,0,0,1,3,8,+5
Danilo Gallinari,19:29,2,10,.200,0,7,.000,2,2,1.000,1,3,4,2,2,0,0,2,6,-18
Solomon Hill,17:51,0,1,.000,0,1,.000,0,0,,1,0,1,2,0,0,1,1,0,-19
Rajon Rondo,11:44,1,4,.250,1,1,1.000,0,0,,0,3,3,1,0,0,1,1,3,-17
Skylar Mays,4:04,0,1,.000,0,1,.000,0,0,,0,0,0,1,0,0,1,0,0,-8
Onyeka Okongwu,3:22,0,0,,0,0,,0,0,,1,0,1,1,0,0,0,1,0,-4
