Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Clint Capela,26:26,4,12,.333,0,0,,4,6,.667,3,8,11,1,1,1,3,1,12,+26
Trae Young,25:29,9,19,.474,3,7,.429,5,6,.833,0,3,3,8,1,0,0,1,26,+20
John Collins,24:09,4,7,.571,4,7,.571,0,0,,1,6,7,1,0,0,1,0,12,+25
Cam Reddish,23:51,3,8,.375,1,4,.250,3,3,1.000,1,4,5,0,1,0,0,0,10,+22
De'Andre Hunter,22:59,4,8,.500,1,2,.500,6,7,.857,2,5,7,1,1,0,1,2,15,+15
Kevin Huerter,24:27,3,9,.333,1,4,.250,1,1,1.000,2,3,5,1,1,0,1,1,8,+12
Brandon Goodwin,22:31,5,12,.417,3,7,.429,2,2,1.000,0,4,4,4,1,0,0,1,15,-2
Solomon Hill,21:49,3,8,.375,3,7,.429,0,0,,2,6,8,0,1,0,0,2,9,+2
Bruno Fernando,20:43,1,4,.250,0,1,.000,0,2,.000,1,4,5,2,0,0,2,3,2,-6
Nathan Knight,15:37,1,7,.143,1,3,.333,0,0,,2,1,3,1,0,2,0,0,3,-8
Tony Snell,6:59,0,3,.000,0,2,.000,0,0,,0,0,0,0,0,0,0,2,0,-10
Skylar Mays,5:00,0,2,.000,0,0,,0,0,,0,0,0,1,0,0,0,0,0,-6
