Players,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Trae Young,33:41,.805,.694,.500,.944,3.1,5.9,4.5,28.8,0.0,0.0,7.3,34.1,162,109,21.0
John Collins,30:28,.672,.650,.400,.600,10.3,16.4,13.4,0.0,0.0,0.0,7.3,18.7,136,105,1.0
Kevin Huerter,29:59,.239,.250,.500,.100,7.0,10.0,8.5,13.4,1.6,0.0,0.0,14.5,82,104,-6.2
Clint Capela,29:49,.450,.429,.000,.071,17.5,30.2,24.0,16.5,0.0,8.5,6.5,21.6,113,94,4.6
De'Andre Hunter,12:05,.429,.429,.286,.000,8.6,8.3,8.5,14.7,4.0,0.0,0.0,24.2,106,100,3.9
Cam Reddish,32:08,.400,.357,.714,.571,0.0,9.3,4.8,0.0,1.5,2.6,18.6,14.0,69,103,-6.1
Solomon Hill,19:32,.200,.200,.800,.000,0.0,15.4,7.8,0.0,2.5,0.0,0.0,10.7,47,100,-7.3
Danilo Gallinari,18:18,.619,.625,.500,.250,0.0,16.4,8.4,0.0,0.0,0.0,25.3,27.1,89,105,-4.8
Rajon Rondo,14:35,1.000,1.000,.750,.000,0.0,13.7,7.0,45.2,3.3,0.0,42.9,20.0,123,98,8.8
Onyeka Okongwu,11:20,.694,.667,.000,1.000,0.0,35.3,18.0,0.0,0.0,0.0,0.0,15.9,146,97,2.9
Tony Snell,6:07,.000,.000,1.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,50.0,13.7,0,112,-20.2
Brandon Goodwin,1:01,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,112,-4.9
Bruno Fernando,0:57,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,112,-3.1
