Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
John Collins,29:39,8,11,.727,1,2,.500,2,2,1.000,0,3,3,2,1,3,0,3,19,+18
Clint Capela,25:36,2,7,.286,0,0,,2,2,1.000,1,7,8,1,0,2,0,1,6,+20
Trae Young,25:11,9,15,.600,2,6,.333,3,4,.750,0,6,6,9,0,0,2,1,23,+18
Kevin Huerter,25:09,3,9,.333,2,6,.333,2,2,1.000,0,6,6,4,2,0,2,3,10,+15
Tony Snell,16:06,3,3,1.000,0,0,,0,0,,0,2,2,1,0,0,0,0,6,+16
Bogdan Bogdanović,29:17,9,14,.643,5,9,.556,0,0,,1,5,6,3,0,0,0,3,23,+6
Danilo Gallinari,24:51,3,9,.333,0,3,.000,2,3,.667,1,8,9,1,0,0,1,1,8,+6
Solomon Hill,18:51,2,4,.500,1,3,.333,0,0,,2,2,4,0,0,0,4,0,5,+7
Rajon Rondo,18:49,4,6,.667,0,2,.000,0,0,,0,0,0,4,3,0,3,2,8,+4
Nathan Knight,11:46,2,5,.400,0,2,.000,0,0,,1,2,3,0,0,0,1,2,4,+1
Onyeka Okongwu,4:08,0,0,,0,0,,0,0,,0,0,0,0,0,1,0,0,0,+1
Brandon Goodwin,4:00,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,1,0,2,+1
Skylar Mays,4:00,1,1,1.000,0,0,,0,0,,0,1,1,1,0,0,0,0,2,+1
Bruno Fernando,2:37,0,2,.000,0,0,,0,0,,0,2,2,0,0,1,0,0,0,+1
