Players,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Trae Young,38:22,.544,.479,.292,.250,3.1,5.8,4.5,41.3,1.3,0.0,10.1,34.3,118,118,5.4
John Collins,32:43,.455,.455,.091,.000,3.6,23.9,14.0,0.0,1.5,0.0,0.0,14.9,103,112,-2.3
Clint Capela,30:49,.805,.833,.000,.667,34.2,29.0,31.5,12.3,1.6,2.9,11.4,25.2,156,109,15.6
Kevin Huerter,27:45,.556,.556,.444,.000,0.0,0.0,0.0,5.1,0.0,0.0,18.2,17.6,95,123,-6.3
Tony Snell,20:35,.000,.000,1.000,.000,0.0,10.8,5.6,5.7,0.0,0.0,50.0,4.3,27,120,-9.7
Bogdan Bogdanović,31:33,.842,.818,.545,.182,0.0,14.2,7.2,5.0,3.2,2.8,7.8,18.1,157,110,14.1
De'Andre Hunter,25:45,.143,.143,.286,.000,0.0,17.3,8.9,4.8,0.0,3.5,22.2,15.5,32,115,-16.2
Danilo Gallinari,25:40,.497,.333,.333,.778,0.0,13.0,6.7,10.6,0.0,0.0,14.2,24.4,99,119,-4.7
Onyeka Okongwu,3:28,,,,,0.0,32.2,16.5,0.0,0.0,0.0,,0.0,0,113,-7.2
Nathan Knight,3:20,.000,.000,1.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.3,0,123,-17.6
