Players,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Jaylen Brown,37:01,.767,.767,.267,.000,0.0,11.5,6.6,5.6,1.4,0.0,11.8,22.4,122,110,2.0
Jayson Tatum,37:00,.341,.206,.235,.471,0.0,37.5,21.3,40.4,0.0,0.0,16.3,32.3,79,107,-6.4
Tristan Thompson,33:24,.854,.833,.000,.167,8.5,9.6,9.1,5.0,0.0,2.4,31.8,13.8,117,111,-2.8
Payton Pritchard,31:26,.788,.750,.375,.250,0.0,3.4,1.9,16.2,1.6,0.0,18.4,16.9,127,111,2.4
Semi Ojeleye,19:02,.571,.571,.571,.000,0.0,16.8,9.6,8.9,2.6,0.0,12.5,20.5,95,106,0.2
Grant Williams,22:26,.363,.250,.667,.333,6.3,4.8,5.4,0.0,2.2,0.0,12.7,17.1,73,110,-10.7
Romeo Langford,21:20,.200,.200,.400,.000,0.0,25.0,14.2,20.0,4.7,3.8,28.6,16.0,50,96,-4.5
Jabari Parker,15:55,.571,.571,.143,.000,0.0,6.7,3.8,0.0,0.0,5.1,0.0,21.4,105,110,-2.5
Luke Kornet,10:04,.500,.500,.500,.000,0.0,21.2,12.1,0.0,0.0,0.0,0.0,9.7,94,111,-5.5
Tremont Waters,7:59,1.160,1.167,.333,.667,0.0,13.4,7.6,33.5,12.6,0.0,0.0,23.7,238,84,41.7
Aaron Nesmith,4:22,.000,.000,1.000,.000,0.0,48.9,27.8,30.5,0.0,0.0,0.0,11.1,51,104,-7.3
