Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Jayson Tatum,45:20,20,37,.541,5,7,.714,15,17,.882,2,6,8,5,0,1,0,2,60,+6
Marcus Smart,43:45,2,6,.333,1,4,.250,5,6,.833,1,3,4,12,2,1,3,4,10,+2
Jaylen Brown,43:31,5,24,.208,4,12,.333,3,5,.600,0,5,5,2,2,2,4,3,17,+3
Robert Williams,23:27,4,6,.667,0,0,,2,4,.500,3,6,9,3,0,1,0,0,10,+1
Evan Fournier,20:47,3,6,.500,2,4,.500,0,0,,0,2,2,0,1,0,2,3,8,0
Aaron Nesmith,30:14,7,9,.778,2,3,.667,0,0,,2,4,6,1,1,0,0,5,16,+12
Tristan Thompson,29:11,3,8,.375,0,0,,2,4,.500,8,7,15,5,0,2,2,4,8,-1
Payton Pritchard,13:18,1,4,.250,1,4,.250,0,0,,1,1,2,0,1,0,1,1,3,+9
Grant Williams,8:45,3,4,.750,2,3,.667,0,0,,0,1,1,0,0,0,0,3,8,-11
Tremont Waters,6:42,1,1,1.000,1,1,1.000,0,0,,0,0,0,3,0,0,1,1,3,-6
