Players,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Marcus Smart,38:27,.315,.000,.667,1.333,0.0,3.3,1.4,18.2,0.0,4.5,29.6,7.5,94,126,-8.1
Jaylen Brown,37:38,.641,.604,.333,.167,0.0,16.8,7.2,16.2,2.6,2.3,0.0,29.4,136,119,9.2
Jayson Tatum,32:49,.536,.536,.464,.000,0.0,26.9,11.5,9.6,2.9,2.7,6.7,39.2,101,115,3.3
Daniel Theis,24:40,.625,.625,.750,.000,0.0,15.4,6.6,14.5,0.0,0.0,0.0,13.9,138,126,1.4
Tristan Thompson,22:24,.600,.600,.000,.000,16.8,22.6,19.3,6.1,0.0,0.0,0.0,19.2,140,125,-2.4
Jeff Teague,25:00,.598,.600,.267,.133,7.5,5.1,6.5,22.2,3.8,3.5,0.0,27.3,135,118,12.6
Semi Ojeleye,18:59,1.025,1.250,.500,.500,5.0,20.0,11.4,5.9,0.0,0.0,0.0,5.5,203,125,0.7
Grant Williams,14:35,.300,.300,.800,.000,0.0,8.7,3.7,7.4,3.3,0.0,16.7,17.7,61,120,-11.8
Payton Pritchard,13:00,.375,.375,.500,.000,0.0,9.7,4.1,0.0,3.7,0.0,0.0,13.2,78,119,-7.9
Robert Williams,12:28,1.000,1.000,.000,.000,22.6,10.1,17.3,0.0,0.0,7.0,33.3,10.3,153,123,-2.8
