Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Jayson Tatum,35:47,9,21,.429,3,9,.333,4,4,1.000,0,11,11,5,0,1,5,1,25,-6
Jaylen Brown,33:36,8,13,.615,0,1,.000,2,2,1.000,0,2,2,4,2,1,2,4,18,+1
Marcus Smart,31:38,4,8,.500,2,4,.500,1,2,.500,1,2,3,6,2,0,2,1,11,-4
Tristan Thompson,22:17,3,7,.429,0,0,,1,2,.500,1,7,8,0,0,1,3,1,7,+1
Daniel Theis,14:56,2,5,.400,0,2,.000,0,0,,0,4,4,0,1,2,0,0,4,-5
Payton Pritchard,23:00,5,5,1.000,3,3,1.000,0,0,,0,0,0,2,2,0,2,0,13,+9
Grant Williams,22:53,2,4,.500,1,2,.500,1,4,.250,2,2,4,0,0,0,1,4,6,+3
Jeff Teague,21:51,0,6,.000,0,0,,9,10,.900,0,3,3,2,2,0,1,2,9,0
Robert Williams,21:34,6,7,.857,0,0,,0,0,,2,2,4,1,4,2,1,3,12,-4
Semi Ojeleye,12:25,1,3,.333,0,2,.000,0,0,,0,1,1,1,0,0,1,1,2,0
