Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Jaylen Brown,37:33,12,20,.600,2,8,.250,3,3,1.000,2,5,7,5,2,0,3,4,29,+3
Jayson Tatum,35:36,10,23,.435,3,10,.300,5,6,.833,0,6,6,4,1,2,4,2,28,-6
Kemba Walker,33:22,8,19,.421,4,11,.364,1,1,1.000,0,4,4,3,0,0,0,2,21,+9
Daniel Theis,25:55,1,4,.250,0,2,.000,0,2,.000,1,2,3,0,1,2,1,2,2,-2
Tristan Thompson,21:40,3,6,.500,0,1,.000,2,2,1.000,4,6,10,2,1,0,2,3,8,+6
Semi Ojeleye,23:51,3,4,.750,2,3,.667,0,0,,1,6,7,1,1,0,0,1,8,-18
Aaron Nesmith,22:12,0,0,,0,0,,0,0,,1,2,3,0,0,1,1,3,0,+5
Payton Pritchard,19:08,2,7,.286,1,4,.250,2,2,1.000,1,0,1,3,0,0,1,2,7,-11
Robert Williams,14:05,2,3,.667,0,0,,0,2,.000,1,2,3,0,0,1,0,1,4,-6
Grant Williams,6:38,0,0,,0,0,,0,0,,1,1,2,1,0,0,1,1,0,+5
Tacko Fall,0:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,
