Players,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Jayson Tatum,38:29,.250,.250,.222,.000,3.2,21.7,13.2,13.5,0.0,2.9,5.3,22.4,66,115,-10.7
Jaylen Brown,37:29,.512,.417,.167,.500,0.0,19.5,10.5,18.0,0.0,0.0,21.5,22.6,93,118,-7.6
Kemba Walker,33:13,.710,.632,.526,.421,0.0,9.4,5.1,31.5,1.5,0.0,4.3,32.1,144,117,13.2
Daniel Theis,30:12,.790,.778,.333,.444,0.0,13.8,7.5,4.9,1.6,11.1,8.5,17.7,141,108,7.5
Tristan Thompson,18:40,1.000,1.000,.000,.000,0.0,28.0,15.1,7.5,0.0,0.0,0.0,7.3,203,115,4.2
Payton Pritchard,30:19,.750,.750,.167,.000,12.2,3.4,7.5,4.4,0.0,0.0,0.0,9.0,164,122,0.3
Robert Williams,22:02,.751,.750,.000,.375,16.8,37.9,28.2,30.1,2.2,10.1,9.7,21.3,152,101,17.8
Jeff Teague,19:05,.822,.700,.200,1.600,0.0,10.9,5.9,14.6,0.0,0.0,26.0,27.4,125,120,-1.8
Aaron Nesmith,7:06,.000,.000,1.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.4,0,123,-13.7
Javonte Green,3:25,1.000,1.000,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.3,200,123,5.9
