Players,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Jaylen Brown,32:33,.563,.525,.450,.250,7.8,11.3,9.2,37.7,1.6,0.0,8.3,31.4,110,114,11.4
Marcus Smart,29:22,.291,.267,.467,.333,0.0,8.4,3.4,17.7,3.4,0.0,0.0,24.7,69,110,-6.2
Tristan Thompson,26:12,.255,.200,.000,.400,16.1,4.7,11.5,0.0,1.9,3.7,25.4,12.7,61,113,-9.7
Grant Williams,24:25,.222,.200,.800,.800,3.4,5.0,4.1,8.5,2.1,0.0,12.9,13.4,51,114,-12.5
Kemba Walker,19:37,.314,.269,.615,.231,0.0,18.8,7.6,55.4,7.7,0.0,25.9,41.6,57,98,-5.6
Semi Ojeleye,23:22,.258,.000,1.000,.667,3.6,10.5,6.4,8.2,0.0,0.0,11.4,15.8,62,118,-11.2
Daniel Theis,19:49,.875,.875,.500,.000,4.2,37.3,17.7,13.7,0.0,0.0,33.3,12.8,105,111,-1.5
Javonte Green,17:50,.709,.667,.333,2.000,9.4,20.7,14.0,0.0,0.0,0.0,15.1,15.7,127,115,0.4
Payton Pritchard,17:23,.500,.500,1.000,.000,4.8,28.3,14.4,0.0,0.0,5.6,40.0,12.1,61,110,-8.1
Jeff Teague,14:28,.000,.000,.500,.000,0.0,17.0,6.9,26.5,3.5,0.0,20.0,14.6,18,108,-14.6
Aaron Nesmith,8:26,.000,.000,.500,.000,0.0,14.6,5.9,0.0,0.0,0.0,0.0,20.0,0,117,-24.1
Tremont Waters,6:33,.750,.750,1.000,.000,0.0,18.8,7.6,41.5,7.7,0.0,0.0,12.9,160,98,18.9
