Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Marcus Smart,34:06,10,19,.526,1,6,.167,4,7,.571,0,4,4,4,1,0,2,1,25,-15
Jaylen Brown,32:49,10,24,.417,3,10,.300,3,6,.500,0,5,5,3,0,0,4,3,26,-13
Kemba Walker,21:43,6,15,.400,5,9,.556,2,2,1.000,0,2,2,6,0,0,3,3,19,-1
Tristan Thompson,20:51,1,2,.500,0,0,,0,0,,1,8,9,2,0,0,1,5,2,-12
Grant Williams,15:49,1,3,.333,1,2,.500,1,2,.500,1,1,2,0,0,0,0,5,4,-10
Javonte Green,28:08,1,4,.250,0,2,.000,0,0,,3,3,6,2,1,0,1,3,2,+5
Daniel Theis,27:09,10,11,.909,1,1,1.000,2,2,1.000,3,7,10,1,1,0,2,5,23,+4
Semi Ojeleye,22:13,0,1,.000,0,1,.000,0,0,,2,2,4,0,0,0,0,1,0,+5
Payton Pritchard,19:19,1,3,.333,1,2,.500,0,0,,0,0,0,2,0,0,1,2,3,-12
Jeff Teague,17:53,2,7,.286,0,0,,1,1,1.000,0,3,3,2,0,0,2,1,5,+9
