Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Jaylen Brown,40:25,5,23,.217,3,12,.250,0,1,.000,1,4,5,6,4,0,4,0,13,-3
Jayson Tatum,35:31,13,22,.591,3,7,.429,2,2,1.000,0,5,5,3,1,0,2,1,31,+1
Kemba Walker,34:18,5,12,.417,1,7,.143,0,0,,0,3,3,2,1,1,2,1,11,-7
Daniel Theis,28:00,7,10,.700,1,3,.333,2,2,1.000,2,6,8,0,2,1,0,2,17,+6
Tristan Thompson,19:11,4,6,.667,0,0,,0,4,.000,3,3,6,2,0,0,2,2,8,+4
Marcus Smart,20:55,4,6,.667,3,5,.600,8,9,.889,2,0,2,2,0,1,0,4,19,-12
Robert Williams,16:33,1,4,.250,0,0,,0,0,,2,2,4,4,1,6,0,2,2,-13
Grant Williams,16:22,0,2,.000,0,2,.000,0,0,,1,4,5,0,1,0,0,1,0,-18
Jeff Teague,15:18,1,1,1.000,1,1,1.000,2,4,.500,0,1,1,1,0,1,1,0,5,-13
Payton Pritchard,13:27,1,5,.200,1,3,.333,0,0,,0,0,0,2,0,0,0,0,3,-5
