Players,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Jaylen Brown,40:22,.533,.521,.458,.125,3.1,19.1,12.2,20.2,1.2,1.8,10.6,33.0,101,120,-3.3
Marcus Smart,39:20,.508,.464,.643,.286,0.0,12.2,6.9,16.7,1.3,0.0,11.3,21.3,101,123,-7.2
Jeff Teague,39:18,.862,.917,.167,.583,0.0,0.0,0.0,24.1,0.0,0.0,16.6,21.7,143,130,1.8
Semi Ojeleye,33:49,.600,.600,.600,.000,0.0,22.8,12.9,0.0,0.0,0.0,0.0,7.0,109,122,-5.2
Daniel Theis,25:10,.505,.500,.167,.167,5.0,19.1,13.0,23.1,0.0,0.0,7.2,26.0,107,124,-2.7
Robert Williams,27:43,.730,.778,.000,.667,9.1,13.9,11.8,22.8,1.8,10.2,0.0,19.8,159,114,13.0
Grant Williams,19:55,.833,.833,.500,.000,0.0,9.7,5.5,22.0,0.0,0.0,14.3,16.5,141,127,4.7
Aaron Nesmith,17:22,.868,.750,.500,1.000,0.0,27.7,15.7,0.0,0.0,0.0,25.8,10.5,120,121,-2.9
Payton Pritchard,16:44,.500,.500,.667,.000,7.5,5.8,6.5,23.4,0.0,4.2,0.0,16.9,124,125,2.0
Javonte Green,5:07,,,,,0.0,0.0,0.0,22.0,0.0,0.0,100.0,9.2,54,129,-17.5
Tremont Waters,0:07,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,130,-12.2
