Players,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Jayson Tatum,36:54,.747,.684,.263,.368,0.0,6.8,3.2,22.7,0.0,2.8,21.4,32.2,120,130,3.4
Marcus Smart,35:02,.393,.393,.643,.000,6.4,21.6,13.5,29.2,0.0,0.0,17.6,20.5,98,131,-7.4
Jaylen Brown,34:42,.337,.295,.409,.182,12.9,25.5,18.8,15.9,0.0,0.0,11.2,32.6,83,131,-15.6
Evan Fournier,33:32,1.050,1.050,.700,.000,0.0,18.8,8.8,13.6,2.8,0.0,9.1,13.9,178,125,12.2
Tristan Thompson,22:44,.167,.167,.000,.000,4.9,16.7,10.4,20.7,0.0,13.5,25.0,14.9,67,119,-5.5
Robert Williams,24:03,.644,.667,.000,.667,4.6,21.0,12.3,25.6,2.0,8.5,20.5,8.6,143,119,5.9
Aaron Nesmith,20:02,1.143,1.143,.571,.000,5.6,18.9,11.8,0.0,0.0,0.0,12.5,16.9,167,131,9.0
Payton Pritchard,18:42,.945,.917,.833,.333,6.0,33.8,19.0,0.0,0.0,0.0,12.7,17.8,153,130,7.6
Romeo Langford,13:39,.500,.500,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.2,101,133,-9.4
Tremont Waters,0:40,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,133,-11.2
