Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Jayson Tatum,30:52,10,22,.455,4,12,.333,3,3,1.000,1,6,7,3,2,2,0,2,27,+28
Marcus Smart,29:54,1,6,.167,1,3,.333,0,0,,0,3,3,9,1,1,2,3,3,+28
Evan Fournier,28:47,8,14,.571,2,5,.400,0,0,,1,4,5,4,2,0,0,3,18,+26
Kemba Walker,28:20,11,18,.611,6,9,.667,4,5,.800,1,2,3,4,1,0,1,1,32,+25
Robert Williams,21:13,4,5,.800,0,0,,0,2,.000,3,3,6,1,1,2,1,2,8,+19
Aaron Nesmith,20:29,2,3,.667,1,2,.500,0,0,,0,4,4,0,0,0,1,4,5,+3
Payton Pritchard,18:00,5,8,.625,4,6,.667,0,0,,0,1,1,1,0,0,0,2,14,+10
Semi Ojeleye,15:09,3,5,.600,1,3,.333,0,0,,1,2,3,1,1,0,0,0,7,+5
Luke Kornet,13:03,2,2,1.000,1,1,1.000,0,0,,1,0,1,1,0,0,2,3,5,+7
Grant Williams,8:24,1,3,.333,0,1,.000,0,0,,0,3,3,2,0,0,3,1,2,+5
Jabari Parker,8:09,1,2,.500,0,0,,0,0,,1,4,5,0,0,0,1,1,2,+6
Carsen Edwards,7:00,1,3,.333,1,2,.500,2,2,1.000,0,0,0,0,0,0,0,1,5,+8
Tremont Waters,5:20,1,4,.250,0,1,.000,0,0,,0,1,1,2,0,0,0,0,2,+5
Tacko Fall,5:20,1,1,1.000,0,0,,0,0,,0,3,3,0,0,4,0,0,2,+5
