Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Kyrie Irving,30:06,7,14,.500,4,6,.667,6,6,1.000,1,1,2,6,0,1,1,4,24,+29
Bruce Brown,25:03,4,8,.500,1,2,.500,0,0,,4,4,8,2,5,2,2,3,9,+6
LaMarcus Aldridge,22:41,8,12,.667,2,2,1.000,4,4,1.000,0,3,3,2,0,2,2,2,22,+22
Joe Harris,22:20,6,9,.667,2,4,.500,0,0,,1,5,6,4,0,0,0,2,14,+25
Jeff Green,21:34,4,6,.667,2,4,.500,1,3,.333,0,4,4,4,1,0,1,2,11,+22
Timothé Luwawu-Cabarrot,26:06,2,13,.154,2,13,.154,0,0,,1,1,2,1,1,0,1,4,6,+8
Alize Johnson,19:49,3,6,.500,0,0,,0,0,,1,5,6,2,1,0,1,1,6,0
Kevin Durant,18:56,5,5,1.000,2,2,1.000,5,5,1.000,1,6,7,5,0,1,6,1,17,+22
Chris Chiozza,17:54,4,5,.800,2,3,.667,2,2,1.000,0,2,2,8,1,0,1,4,12,-1
Nicolas Claxton,14:50,1,2,.500,0,0,,0,2,.000,0,2,2,1,1,1,1,5,2,+5
Blake Griffin,13:08,4,6,.667,2,4,.500,0,0,,0,2,2,2,0,1,1,1,10,+6
Reggie Perry,7:33,3,6,.500,0,1,.000,0,0,,1,0,1,0,0,0,0,2,6,-4
