Players,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Kevin Durant,36:21,.763,.708,.167,.333,0.0,8.1,4.5,51.0,1.3,0.0,6.8,34.1,150,109,16.4
Jeff Green,31:22,.694,.571,.143,1.000,3.9,18.7,12.2,18.7,1.5,0.0,0.0,13.5,161,107,3.8
Landry Shamet,30:27,.742,.722,.778,.111,0.0,9.7,5.4,16.1,0.0,2.8,9.6,14.4,136,110,3.4
Tyler Johnson,26:15,.611,.611,.889,.000,0.0,11.2,6.2,13.8,1.7,0.0,10.0,16.0,114,108,0.1
Joe Harris,24:35,.643,.650,.600,.200,0.0,12.0,6.7,0.0,0.0,3.4,8.4,20.3,107,109,-2.7
Alize Johnson,32:09,.683,.583,.083,.500,15.3,51.8,35.6,12.3,0.0,5.2,0.0,19.1,156,99,8.0
Mike James,25:01,.063,.000,.571,.286,0.0,11.7,6.5,28.6,0.0,0.0,33.7,19.9,47,112,-20.2
Timothé Luwawu-Cabarrot,19:10,.700,.700,.600,.000,6.4,0.0,2.8,19.0,0.0,0.0,16.7,13.1,130,114,0.5
Blake Griffin,13:35,.425,.400,.200,.400,9.1,28.8,20.1,0.0,0.0,6.2,33.8,27.4,62,103,-17.7
Reggie Perry,1:05,1.000,1.000,.000,.000,100.0,0.0,50.3,0.0,0.0,0.0,0.0,38.8,211,114,32.9
