Players,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Kevin Durant,33:24,.726,.656,.250,.563,0.0,10.6,6.4,15.4,3.0,0.0,9.1,30.2,141,98,8.4
Kyrie Irving,33:24,.813,.786,.476,.190,4.0,13.3,9.6,51.5,1.5,0.0,4.2,32.6,169,100,21.4
Spencer Dinwiddie,29:12,.436,.333,.333,.333,0.0,12.2,7.3,8.7,3.5,2.3,22.5,13.9,85,95,-3.6
Joe Harris,26:12,.654,.667,.667,.333,0.0,3.4,2.0,0.0,0.0,0.0,0.0,12.0,133,109,-4.4
DeAndre Jordan,19:14,.694,1.000,.000,1.000,13.9,23.1,19.4,13.9,0.0,7.0,25.8,9.3,132,94,4.9
Jarrett Allen,21:27,.798,.667,.000,2.000,31.1,24.9,27.4,6.1,0.0,12.6,15.1,14.2,167,90,10.6
Landry Shamet,19:25,.644,.500,1.000,.667,0.0,13.7,8.2,6.4,0.0,3.5,20.5,11.5,116,102,1.4
Caris LeVert,18:34,.625,.625,.250,.000,0.0,4.8,2.9,27.6,0.0,3.6,46.7,37.1,72,107,-14.0
Jeff Green,14:32,.333,.333,.333,.000,9.2,18.3,14.7,0.0,0.0,0.0,0.0,9.5,96,100,-7.4
Taurean Prince,12:06,.425,.300,.400,.400,0.0,0.0,0.0,0.0,0.0,5.6,0.0,22.3,98,108,-9.4
Bruce Brown,2:30,,,,,0.0,35.6,21.3,0.0,0.0,0.0,,0.0,0,90,-2.0
Reggie Perry,2:30,,,,,0.0,0.0,0.0,46.8,0.0,0.0,,0.0,237,112,14.2
Timothé Luwawu-Cabarrot,2:30,1.064,1.000,.000,2.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.5,230,112,26.1
Rodions Kurucs,2:30,.000,.000,.000,.000,0.0,35.6,21.3,0.0,0.0,0.0,0.0,18.3,0,89,-28.9
Tyler Johnson,2:30,1.500,1.500,1.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.3,300,112,34.5
