Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Kevin Durant,34:59,11,22,.500,2,6,.333,9,9,1.000,1,10,11,9,1,1,4,1,33,+1
Kyrie Irving,34:00,10,27,.370,3,11,.273,2,2,1.000,0,2,2,6,2,0,1,4,25,-6
Joe Harris,30:34,8,11,.727,6,8,.750,1,2,.500,0,2,2,2,0,1,0,5,23,-7
Timothé Luwawu-Cabarrot,26:25,1,5,.200,1,4,.250,0,0,,0,1,1,2,0,0,0,2,3,-5
DeAndre Jordan,15:13,2,2,1.000,0,0,,1,2,.500,0,1,1,0,1,1,0,3,5,-8
Jarrett Allen,24:26,6,7,.857,0,0,,3,5,.600,5,8,13,1,0,0,2,3,15,+8
Caris LeVert,24:13,4,13,.308,2,6,.333,0,0,,2,2,4,8,0,0,1,1,10,+11
Taurean Prince,18:33,5,5,1.000,2,2,1.000,0,0,,0,3,3,1,1,0,0,1,12,+7
Landry Shamet,17:26,5,5,1.000,2,2,1.000,2,2,1.000,1,0,1,0,1,0,0,2,14,+11
Jeff Green,14:11,2,3,.667,1,2,.500,0,1,.000,0,2,2,1,0,0,0,2,5,+8
