Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
DeAndre Jordan,36:38,5,8,.625,0,0,,2,4,.500,3,10,13,1,0,3,1,1,12,+12
James Harden,35:35,4,13,.308,1,6,.167,10,10,1.000,0,11,11,5,0,0,5,1,19,+6
Kyrie Irving,35:25,8,17,.471,2,6,.333,17,17,1.000,2,2,4,8,1,2,2,4,35,+17
Joe Harris,25:59,6,11,.545,3,7,.429,2,2,1.000,0,2,2,1,0,0,0,4,17,+1
Bruce Brown,20:50,1,1,1.000,0,0,,0,2,.000,0,4,4,0,0,0,2,2,2,-8
Jeff Green,24:28,3,11,.273,1,5,.200,0,0,,0,3,3,4,1,0,0,2,7,+23
Tyler Johnson,19:49,1,3,.333,0,1,.000,0,0,,1,2,3,0,0,0,0,2,2,+4
Landry Shamet,18:23,3,8,.375,2,5,.400,0,0,,1,1,2,0,0,0,0,2,8,+6
Timothé Luwawu-Cabarrot,17:11,1,3,.333,0,1,.000,0,0,,2,1,3,1,0,0,1,0,2,+7
Noah Vonleh,1:54,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,1,0,-6
Norvel Pelle,1:54,0,1,.000,0,0,,0,0,,0,1,1,0,0,0,0,1,0,-6
Chris Chiozza,1:54,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-6
