Players,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
James Harden,35:27,.800,.773,.727,.182,0.0,25.8,13.2,51.7,3.8,2.4,29.6,19.9,135,104,14.3
Kyrie Irving,33:38,.659,.647,.294,.059,7.1,10.2,8.7,16.0,1.3,0.0,5.4,22.9,133,114,2.5
Kevin Durant,33:16,.482,.447,.316,.211,0.0,17.2,8.8,22.5,0.0,5.2,16.2,31.1,93,111,-5.1
Joe Harris,27:04,.759,.722,.667,.222,0.0,16.9,8.7,0.0,3.3,3.2,0.0,15.3,146,106,6.0
Bruce Brown,21:39,.676,.667,.000,.250,22.2,15.8,18.9,6.9,0.0,0.0,0.0,25.7,147,116,1.1
Jeff Green,28:44,.956,.917,.167,.500,8.4,15.9,12.2,8.0,1.6,0.0,0.0,10.7,201,112,6.1
Timothé Luwawu-Cabarrot,23:33,.820,.750,.250,.500,0.0,29.1,14.9,4.6,3.8,3.6,17.0,10.4,136,103,4.0
Landry Shamet,18:59,.481,.357,.714,.429,0.0,6.0,3.1,22.5,0.0,0.0,10.7,20.5,110,117,-6.3
Tyler Johnson,14:27,.750,.750,1.000,.000,0.0,15.8,8.1,0.0,0.0,0.0,0.0,17.4,135,116,1.7
Noah Vonleh,3:13,.000,.000,.500,.000,0.0,35.5,18.2,29.8,0.0,0.0,33.3,39.0,24,114,-40.8
