Players,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Caris LeVert,32:16,.374,.360,.200,.400,0.0,25.4,11.0,48.6,2.7,0.0,3.3,37.1,92,100,-2.7
Jeff Green,28:54,.799,.714,.714,.571,0.0,4.1,1.7,4.4,1.5,2.7,0.0,11.9,163,101,3.5
Jarrett Allen,28:25,.868,.833,.000,1.000,9.4,33.0,19.6,14.3,0.0,2.8,25.8,16.1,138,102,2.5
Taurean Prince,21:32,.697,.625,.500,.375,0.0,5.4,2.3,6.4,4.1,3.7,9.7,18.9,125,95,6.2
Bruce Brown,17:45,.563,.625,.500,.250,0.0,6.6,2.8,0.0,2.5,0.0,31.1,14.3,66,102,-9.7
Joe Harris,30:14,.704,.737,.474,.105,5.9,15.5,10.0,23.9,1.4,0.0,4.8,27.2,131,103,12.2
Timothé Luwawu-Cabarrot,26:26,.533,.500,.875,.125,3.4,13.3,7.6,4.7,5.0,3.0,0.0,12.6,117,93,3.1
Landry Shamet,19:09,.429,.429,.571,.000,4.6,12.2,7.9,0.0,0.0,0.0,0.0,14.4,94,107,-8.0
DeAndre Jordan,18:08,.250,.250,.000,.000,9.8,58.1,30.7,25.6,0.0,8.7,33.3,13.0,82,94,-1.8
Chris Chiozza,15:44,.405,.333,.111,.222,11.3,7.4,9.6,52.5,2.8,5.0,16.8,29.8,100,96,3.4
Rodions Kurucs,1:27,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,108,-8.3
