Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Caris LeVert,35:44,15,23,.652,7,9,.778,6,6,1.000,0,5,5,6,0,0,5,2,43,+8
Jeff Green,34:23,3,5,.600,3,5,.600,0,0,,0,9,9,4,1,0,3,1,9,+8
Jarrett Allen,30:17,3,7,.429,0,0,,6,7,.857,3,3,6,6,1,1,2,2,12,+3
Taurean Prince,24:29,4,13,.308,1,4,.250,7,7,1.000,0,4,4,0,1,1,2,1,16,+10
Bruce Brown,22:32,1,3,.333,0,1,.000,0,0,,0,6,6,0,0,1,3,2,2,+1
Joe Harris,28:05,6,9,.667,1,3,.333,0,0,,0,2,2,2,0,1,2,2,13,-12
Landry Shamet,21:40,3,7,.429,2,5,.400,0,0,,0,2,2,4,2,0,0,1,8,-15
Timothé Luwawu-Cabarrot,17:50,1,8,.125,0,3,.000,1,1,1.000,0,3,3,1,0,0,1,2,3,-7
DeAndre Jordan,17:22,2,2,1.000,0,0,,0,0,,1,4,5,3,0,0,2,0,4,-9
Chris Chiozza,7:38,0,4,.000,0,1,.000,0,0,,0,0,0,0,1,0,0,0,0,-12
