Players,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
James Harden,40:53,.802,.800,.533,.467,0.0,21.3,13.0,44.1,3.6,2.4,30.7,27.9,127,107,11.8
Kyrie Irving,34:06,.538,.524,.429,.143,8.0,7.7,7.8,23.2,0.0,0.0,8.2,31.2,120,121,-4.3
DeAndre Jordan,28:48,.714,.714,.000,.000,0.0,30.3,18.5,12.3,0.0,0.0,22.2,13.7,118,113,-0.2
Bruce Brown,28:12,.623,.591,.182,.545,19.5,12.4,15.1,30.7,0.0,0.0,0.0,21.2,160,119,5.5
Joe Harris,24:05,1.006,1.000,.556,.111,0.0,7.2,4.4,0.0,2.0,0.0,0.0,17.2,192,117,11.1
Landry Shamet,29:28,.611,.611,.778,.000,0.0,8.9,5.4,3.8,1.7,0.0,10.0,14.9,113,117,-4.4
Tyler Johnson,18:39,.694,.500,.667,1.000,7.4,14.0,11.4,0.0,0.0,0.0,18.8,12.5,128,119,-6.8
Nicolas Claxton,16:25,.820,.875,.000,.500,25.1,26.6,26.0,10.2,0.0,0.0,0.0,26.0,172,114,8.7
Andre Roberson,14:40,.000,.000,1.000,.000,0.0,6.0,3.6,0.0,0.0,0.0,0.0,6.0,0,122,-14.2
Tyler Cook,2:22,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,124,-5.9
Chris Chiozza,2:22,,,,,0.0,73.8,45.1,41.4,0.0,0.0,,0.0,235,97,9.5
