Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
James Harden,39:05,10,23,.435,3,9,.333,3,4,.750,1,4,5,8,3,1,3,2,26,+7
Joe Harris,35:25,3,8,.375,3,7,.429,1,2,.500,0,3,3,3,1,2,1,4,10,+9
Kyrie Irving,34:34,10,25,.400,1,6,.167,7,7,1.000,2,5,7,6,3,0,1,4,28,-7
Jeff Green,24:53,0,1,.000,0,0,,3,4,.750,0,2,2,1,0,0,0,1,3,+1
DeAndre Jordan,17:19,6,6,1.000,0,0,,0,1,.000,3,2,5,2,1,1,0,0,12,-7
Nicolas Claxton,26:12,7,10,.700,0,0,,2,4,.500,1,2,3,0,1,3,2,2,16,+6
Tyler Johnson,19:59,2,6,.333,1,4,.250,0,0,,0,4,4,0,1,0,0,1,5,+4
Bruce Brown,15:46,4,5,.800,0,0,,0,0,,2,1,3,4,0,0,0,1,8,+8
Blake Griffin,14:57,1,2,.500,0,0,,0,0,,0,2,2,0,0,1,0,2,2,+12
Landry Shamet,11:50,1,4,.250,1,3,.333,0,0,,1,0,1,0,1,0,0,1,3,+2
