Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Kevin Durant,39:52,16,33,.485,7,13,.538,3,4,.750,2,8,10,2,1,0,5,3,42,-8
Kyrie Irving,36:37,8,21,.381,2,8,.250,2,2,1.000,2,5,7,6,2,0,4,1,20,+3
Joe Harris,34:58,2,7,.286,1,5,.200,0,0,,1,4,5,1,0,0,1,0,5,+2
Jeff Green,33:32,2,6,.333,1,3,.333,2,2,1.000,1,5,6,2,0,0,0,0,7,-1
DeAndre Jordan,23:58,4,7,.571,0,0,,2,3,.667,4,7,11,0,1,1,1,1,10,-2
Landry Shamet,27:52,5,9,.556,4,7,.571,3,3,1.000,0,3,3,2,0,0,2,0,17,-7
Blake Griffin,18:15,4,8,.500,2,4,.500,1,1,1.000,3,4,7,1,0,0,0,5,11,-2
Tyler Johnson,11:56,0,4,.000,0,2,.000,0,0,,1,1,2,3,0,0,0,0,0,+5
Mike James,5:07,0,1,.000,0,0,,0,0,,0,0,0,1,0,0,2,0,0,-3
Bruce Brown,4:40,0,0,,0,0,,0,0,,0,1,1,0,0,0,1,1,0,-3
Alize Johnson,3:13,0,0,,0,0,,2,2,1.000,0,1,1,0,1,0,0,0,2,+1
