Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Zach LaVine,36:21,5,14,.357,2,8,.250,9,11,.818,1,3,4,9,0,2,4,2,21,-7
Nikola Vučević,33:08,7,19,.368,3,7,.429,0,1,.000,1,9,10,1,5,1,0,2,17,-19
Patrick Williams,27:18,1,3,.333,0,1,.000,0,0,,2,1,3,1,2,0,2,0,2,-12
Tomáš Satoranský,22:03,1,5,.200,0,1,.000,0,0,,0,1,1,2,1,0,3,4,2,-19
Thaddeus Young,19:43,10,15,.667,0,2,.000,0,0,,1,0,1,1,0,0,1,0,20,+2
Daniel Theis,27:05,8,12,.667,0,3,.000,2,3,.667,0,4,4,2,0,0,1,1,18,-13
Troy Brown,25:35,1,6,.167,0,4,.000,0,0,,0,8,8,2,0,0,1,1,2,+8
Coby White,24:22,2,8,.250,0,4,.000,2,2,1.000,0,2,2,2,0,0,2,3,6,-2
Lauri Markkanen,16:04,0,3,.000,0,1,.000,0,0,,3,4,7,2,0,0,3,2,0,+8
Denzel Valentine,8:21,1,1,1.000,0,0,,0,0,,0,0,0,1,0,0,0,1,2,-1
