Players,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Nikola Vučević,38:56,.673,.667,.333,.167,6.7,35.2,21.8,30.3,0.0,0.0,9.4,25.8,129,115,8.4
Coby White,37:38,.751,.694,.500,.333,0.0,15.2,8.1,26.6,2.7,0.0,22.5,33.4,114,112,4.8
Garrett Temple,32:58,.143,.143,.571,.000,0.0,0.0,0.0,15.9,0.0,0.0,0.0,10.0,64,121,-12.1
Daniel Theis,25:51,.654,.583,.333,.333,10.0,17.7,14.1,11.5,2.0,0.0,0.0,12.6,149,113,2.5
Patrick Williams,21:31,.333,.333,.167,.000,6.0,15.9,11.3,6.7,0.0,0.0,33.3,19.7,55,118,-15.5
Thaddeus Young,21:45,.500,.500,.167,.000,6.0,5.3,5.6,28.1,2.4,0.0,25.0,17.4,98,115,-1.8
Lauri Markkanen,20:51,.750,.750,.833,.000,0.0,27.4,14.6,7.4,0.0,0.0,14.3,15.8,114,116,-0.8
Denzel Valentine,18:06,.643,.643,.714,.000,0.0,25.3,13.4,26.5,8.5,12.3,12.5,20.9,116,87,19.9
Tomáš Satoranský,13:16,.258,.000,1.000,.667,0.0,8.6,4.6,0.0,0.0,0.0,34.0,20.9,36,119,-24.2
Ryan Arcidiacono,9:08,.750,.750,1.000,.000,0.0,12.5,6.7,32.1,0.0,0.0,0.0,10.3,165,119,7.9
