Players,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Patrick Williams,33:02,.587,.500,.273,.545,0.0,15.7,7.0,5.1,1.4,3.2,0.0,17.3,123,119,-0.4
Coby White,30:28,.353,.227,.636,.364,0.0,8.5,3.8,33.6,3.0,0.0,19.0,21.7,78,119,-6.7
Lauri Markkanen,30:12,.938,.889,.667,.556,3.5,25.8,13.4,24.0,3.1,0.0,15.2,18.4,159,116,14.2
Wendell Carter,25:46,.510,.400,.400,.400,4.0,25.2,13.5,11.5,0.0,0.0,33.8,14.5,80,123,-10.6
Zach LaVine,25:18,.541,.500,.421,.158,4.1,5.1,4.6,10.0,1.8,0.0,19.7,42.0,85,122,-9.0
Otto Porter,23:22,.595,.500,.200,.400,13.4,11.1,12.4,8.0,4.0,0.0,7.8,22.9,122,116,2.0
Ryan Arcidiacono,19:35,.417,.417,.667,.000,0.0,19.9,8.9,15.8,2.4,0.0,0.0,12.9,96,118,-5.0
Chandler Hutchison,18:35,.167,.167,.000,.000,5.6,27.9,15.6,0.0,0.0,0.0,14.3,15.8,40,122,-19.2
Daniel Gafford,16:54,.434,.500,.000,1.000,0.0,7.7,3.4,0.0,0.0,6.3,0.0,14.3,86,122,-8.6
Adam Mokoka,16:47,.333,.333,.500,.000,6.2,7.7,6.9,18.9,2.8,6.4,0.0,15.0,90,116,-1.7
