Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Patrick Williams,34:59,1,5,.200,0,1,.000,1,2,.500,0,4,4,1,0,1,1,2,3,-19
Zach LaVine,34:12,11,21,.524,4,7,.571,0,0,,2,7,9,6,0,0,2,2,26,-17
Coby White,33:45,7,14,.500,3,8,.375,0,0,,0,3,3,4,0,1,2,3,17,-9
Garrett Temple,30:08,4,8,.500,2,3,.667,0,0,,0,5,5,1,1,0,0,1,10,-22
Daniel Gafford,7:47,0,1,.000,0,0,,2,2,1.000,1,1,2,1,1,1,4,2,2,-6
Tomáš Satoranský,29:31,5,8,.625,0,2,.000,7,7,1.000,0,4,4,7,0,0,1,2,17,-8
Thaddeus Young,25:28,6,11,.545,0,0,,2,2,1.000,3,3,6,3,1,0,2,2,14,-9
Denzel Valentine,22:39,3,9,.333,2,6,.333,2,2,1.000,1,2,3,0,1,0,1,1,10,-7
Luke Kornet,14:45,3,6,.500,1,3,.333,0,0,,0,3,3,0,0,0,0,0,7,-4
Ryan Arcidiacono,4:16,0,2,.000,0,2,.000,0,0,,0,1,1,0,0,0,0,1,0,+6
Adam Mokoka,1:15,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0
Cristiano Felício,1:15,0,0,,0,0,,0,0,,1,0,1,0,0,0,0,0,0,0
