Players,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Patrick Williams,33:27,.250,.250,.375,.000,8.7,18.9,14.1,7.9,0.0,2.2,11.1,13.0,72,112,-6.5
Zach LaVine,33:02,.676,.688,.500,.250,0.0,3.8,2.0,22.4,0.0,0.0,22.0,33.3,103,115,-0.6
Garrett Temple,31:44,.500,.500,.600,.000,0.0,8.0,4.3,8.4,0.0,0.0,28.6,10.7,80,115,-7.7
Coby White,31:10,.535,.469,.375,.250,0.0,20.3,10.8,21.8,0.0,0.0,14.5,32.2,100,114,-4.6
Wendell Carter,24:34,.333,.333,.000,.000,0.0,25.7,13.8,10.5,2.1,0.0,57.1,13.8,43,109,-11.2
Thaddeus Young,21:30,.597,.600,.000,.200,20.3,35.3,28.3,43.6,0.0,0.0,0.0,24.4,144,113,10.7
Denzel Valentine,20:46,.250,.250,.500,.000,0.0,30.4,16.3,26.9,2.4,0.0,0.0,18.6,81,108,-2.4
Tomáš Satoranský,20:34,1.000,1.000,.333,.000,0.0,12.3,6.6,8.5,0.0,0.0,25.0,18.8,127,115,3.1
Luke Kornet,11:50,1.100,1.100,.800,.000,12.3,42.7,28.6,0.0,0.0,18.4,0.0,20.4,196,90,35.2
Ryan Arcidiacono,11:23,1.500,1.500,1.000,.000,0.0,0.0,0.0,12.1,0.0,0.0,0.0,4.2,275,115,4.0
