Players,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Lauri Markkanen,35:45,.841,.833,.611,.056,0.0,19.6,10.3,0.0,0.0,2.9,9.8,25.7,138,132,5.0
Zach LaVine,34:56,1.009,1.000,.667,.167,0.0,23.5,12.3,17.9,3.0,0.0,31.8,24.3,122,127,6.9
Coby White,33:56,.758,.682,.545,.455,0.0,10.4,5.4,24.6,0.0,0.0,7.0,18.8,160,136,2.0
Patrick Williams,24:18,.698,.643,.429,.286,0.0,4.8,2.5,5.6,2.1,0.0,11.3,16.5,129,133,-2.7
Daniel Gafford,10:06,.500,.500,.000,.000,25.7,34.8,30.5,14.2,0.0,0.0,0.0,17.8,140,131,-4.4
Thaddeus Young,28:57,.368,.300,.000,.200,31.4,16.2,23.4,48.0,1.8,0.0,8.4,18.5,144,131,2.3
Garrett Temple,24:51,.500,.500,.778,.000,0.0,4.7,2.5,0.0,0.0,4.2,10.0,18.1,91,135,-10.3
Otto Porter,24:09,.354,.278,.667,.222,10.7,4.8,7.6,15.3,0.0,0.0,9.2,20.3,102,138,-13.5
Tomáš Satoranský,13:18,.872,.833,.667,.333,0.0,26.4,13.9,30.3,0.0,0.0,36.8,18.4,123,133,-2.1
Denzel Valentine,4:56,.000,.000,1.000,.000,0.0,0.0,0.0,22.6,0.0,0.0,0.0,18.3,45,138,-26.5
Cristiano Felício,4:48,,,,,0.0,73.2,38.5,23.3,10.7,0.0,,0.0,249,97,13.5
