Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Zach LaVine,32:03,7,16,.438,1,5,.200,4,4,1.000,0,4,4,7,0,0,4,1,19,-15
Patrick Williams,31:48,1,4,.250,1,2,.500,1,2,.500,0,1,1,4,1,0,1,3,4,0
Lauri Markkanen,27:32,8,11,.727,7,7,1.000,0,0,,0,4,4,0,0,1,1,1,23,-13
Coby White,24:37,7,16,.438,4,7,.571,0,0,,0,2,2,4,0,0,1,3,18,-11
Wendell Carter,15:06,3,8,.375,0,1,.000,2,2,1.000,3,6,9,1,0,2,2,3,8,-13
Tomáš Satoranský,24:58,2,4,.500,0,2,.000,4,4,1.000,0,1,1,4,0,0,3,1,8,-24
Garrett Temple,19:50,1,3,.333,0,0,,0,0,,0,2,2,1,1,0,1,3,2,-15
Otto Porter,17:40,1,6,.167,1,3,.333,0,0,,0,3,3,1,1,0,2,0,3,-12
Thaddeus Young,17:20,6,9,.667,0,0,,2,2,1.000,4,4,8,2,0,2,2,1,14,-7
Daniel Gafford,9:31,2,2,1.000,0,0,,0,0,,1,1,2,1,0,0,0,3,4,+8
Luke Kornet,7:45,0,1,.000,0,1,.000,0,2,.000,0,0,0,0,0,1,0,0,0,-10
Ryan Arcidiacono,6:52,0,2,.000,0,1,.000,0,0,,0,1,1,0,0,0,1,0,0,+2
Denzel Valentine,4:58,1,1,1.000,0,0,,0,0,,0,1,1,1,0,0,1,0,2,0
