Players,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Zach LaVine,33:32,.555,.450,.500,.800,0.0,16.2,8.8,11.2,0.0,3.2,18.2,20.0,102,97,-4.7
Lauri Markkanen,32:04,.488,.417,.750,.250,0.0,19.8,10.7,3.9,1.5,3.3,0.0,16.9,112,93,-0.7
Patrick Williams,26:34,.710,.679,.286,.357,8.0,13.6,11.1,26.1,1.8,4.0,0.0,24.8,155,93,14.1
Tomáš Satoranský,25:34,.625,.625,.500,.000,12.5,10.6,11.5,36.0,1.9,8.3,27.3,17.5,117,90,7.5
Thaddeus Young,22:37,.500,.500,.000,.000,14.1,16.0,15.2,44.5,0.0,0.0,16.7,21.6,115,99,2.5
Coby White,27:24,.505,.500,.667,.167,0.0,13.2,7.2,24.9,0.0,3.9,18.9,23.6,94,97,-3.4
Otto Porter,21:11,.423,.423,.462,.000,10.1,21.4,16.2,20.8,2.2,0.0,0.0,24.9,108,93,2.3
Denzel Valentine,19:47,.786,.786,.857,.000,0.0,22.9,12.4,14.1,2.4,0.0,0.0,14.4,158,92,11.4
Wendell Carter,18:51,.536,.444,.000,.556,22.6,33.6,28.6,7.5,2.5,5.7,0.0,24.1,133,85,3.7
Ryan Arcidiacono,11:14,.000,.000,1.000,.000,0.0,8.1,4.4,19.4,0.0,0.0,0.0,7.2,61,101,-11.7
Luke Kornet,1:12,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,103,-7.0
