Players,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Daniel Theis,40:11,.506,.450,.200,.200,7.3,17.1,11.4,11.5,2.6,0.0,8.4,13.1,113,112,-0.7
Coby White,28:48,.578,.553,.526,.105,3.4,4.8,4.0,36.8,0.0,0.0,13.1,35.3,107,120,6.1
Thaddeus Young,27:43,.468,.462,.077,.154,3.5,14.8,8.2,20.3,1.9,0.0,17.8,27.0,85,114,-3.9
Patrick Williams,27:40,.282,.250,.125,.250,7.1,24.8,14.5,21.3,3.7,0.0,10.1,15.8,82,108,-3.3
Garrett Temple,27:30,.583,.583,.333,.000,0.0,5.0,2.1,0.0,0.0,3.7,14.3,11.3,93,117,-5.4
Tomáš Satoranský,22:39,.556,.556,.444,.000,4.3,18.2,10.1,50.1,0.0,4.5,25.0,23.5,101,115,0.8
Lauri Markkanen,16:48,.313,.313,.750,.000,11.7,16.3,13.6,0.0,0.0,0.0,20.0,26.4,61,118,-16.5
Denzel Valentine,16:33,.698,.643,.857,.286,0.0,16.6,6.9,42.5,0.0,0.0,11.3,23.8,136,118,12.8
Al-Farouq Aminu,16:18,.431,.000,1.000,3.000,6.0,33.7,17.5,0.0,3.2,0.0,0.0,6.3,115,108,-3.7
Javonte Green,11:13,.788,.750,.000,.250,8.7,24.5,15.3,0.0,4.6,0.0,0.0,17.6,161,106,11.3
Ryan Arcidiacono,4:37,.000,.000,.500,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.2,0,120,-29.6
