Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Gordon Hayward,28:48,5,11,.455,1,4,.250,2,2,1.000,2,2,4,1,0,0,0,1,13,-20
Terry Rozier,26:30,4,11,.364,2,6,.333,2,4,.500,0,5,5,3,0,0,3,1,12,-20
P.J. Washington,26:07,3,11,.273,1,4,.250,1,1,1.000,0,8,8,1,1,2,2,2,8,-16
Devonte' Graham,20:31,3,9,.333,2,6,.333,5,5,1.000,1,4,5,0,1,1,1,0,13,-24
Bismack Biyombo,10:31,1,4,.250,0,0,,0,1,.000,2,1,3,1,0,0,2,1,2,-19
Miles Bridges,29:39,3,9,.333,2,5,.400,2,2,1.000,3,2,5,3,1,2,0,0,10,+2
Malik Monk,21:42,4,11,.364,3,5,.600,0,0,,1,2,3,4,1,0,2,1,11,+9
Cody Zeller,20:36,2,3,.667,0,1,.000,2,2,1.000,1,4,5,2,2,0,0,0,6,-6
Cody Martin,18:22,1,7,.143,1,3,.333,0,0,,1,1,2,3,3,0,0,1,3,-6
Brad Wanamaker,14:18,3,5,.600,1,2,.500,2,2,1.000,0,0,0,3,0,0,1,2,9,+5
Caleb Martin,11:44,0,3,.000,0,1,.000,0,0,,0,3,3,1,1,0,0,0,0,-8
Jalen McDaniels,4:52,1,2,.500,0,1,.000,0,0,,0,0,0,0,1,0,0,0,2,-4
Nick Richards,4:15,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-1
Nate Darling,2:05,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-2
