Players,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Miles Bridges,37:20,.831,.769,.615,.462,5.4,13.1,9.3,15.3,0.0,4.3,11.3,19.1,153,113,7.4
Terry Rozier,33:12,.559,.559,.529,.118,0.0,8.9,4.5,4.5,1.4,2.4,10.1,24.2,98,112,-7.2
P.J. Washington,31:07,.628,.577,.538,.231,0.0,22.0,11.1,17.8,0.0,2.6,6.5,19.9,129,112,1.8
Jalen McDaniels,31:05,.745,.727,.273,.364,9.7,9.5,9.6,23.3,1.4,5.1,7.3,17.9,154,110,8.1
Devonte' Graham,25:34,.776,.750,1.000,.167,0.0,7.7,3.9,28.7,0.0,0.0,13.4,23.5,136,118,5.0
Brad Wanamaker,22:31,.630,.333,.333,1.333,0.0,13.1,6.6,35.6,4.0,0.0,29.6,12.1,131,107,-0.7
Cody Zeller,21:32,.625,.625,.000,.000,32.5,22.7,27.6,20.4,0.0,11.1,20.0,18.8,133,106,2.6
Caleb Martin,14:11,.143,.143,.714,.000,7.1,20.7,14.0,41.7,0.0,0.0,30.0,28.5,61,113,-20.8
Cody Martin,12:31,.375,.375,.750,.000,0.0,31.3,15.8,0.0,0.0,6.4,33.3,19.4,47,106,-12.9
Vernon Carey,3:33,.615,.500,.500,.500,0.0,27.6,13.9,0.0,0.0,0.0,29.1,39.2,83,111,-20.3
Nate Darling,2:28,.000,.000,1.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.4,0,120,-26.5
Grant Riller,2:28,,,,,0.0,0.0,0.0,44.2,0.0,0.0,,0.0,243,120,1.6
Nick Richards,2:28,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,119,-15.2
