Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Gordon Hayward,30:59,4,16,.250,1,6,.167,2,2,1.000,1,6,7,3,1,0,3,4,11,+8
Terry Rozier,30:11,8,17,.471,2,7,.286,0,0,,1,4,5,3,0,1,3,4,18,+11
Bismack Biyombo,29:53,3,6,.500,0,0,,3,5,.600,4,2,6,4,0,1,2,5,9,+8
Devonte' Graham,29:19,3,8,.375,2,5,.400,1,1,1.000,0,0,0,5,2,0,1,2,9,+20
P.J. Washington,17:35,4,6,.667,1,2,.500,2,2,1.000,1,1,2,3,0,0,2,5,11,+23
Miles Bridges,29:43,6,9,.667,4,6,.667,4,4,1.000,0,16,16,2,0,2,5,1,20,+18
LaMelo Ball,29:25,7,10,.700,4,5,.800,4,4,1.000,4,4,8,5,1,1,2,3,22,+8
Jalen McDaniels,16:11,4,5,.800,1,2,.500,1,1,1.000,0,1,1,0,0,0,4,2,10,-9
Caleb Martin,14:21,2,3,.667,0,0,,0,2,.000,1,3,4,4,1,0,0,1,4,+15
Cody Martin,7:36,2,2,1.000,0,0,,0,0,,0,0,0,0,1,0,1,1,4,0
Vernon Carey,3:40,0,2,.000,0,1,.000,0,0,,0,1,1,1,0,1,0,0,0,-4
Nick Richards,1:07,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-3
