Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Terry Rozier,33:03,12,17,.706,6,9,.667,4,4,1.000,0,3,3,3,1,0,1,1,34,-16
Gordon Hayward,30:14,7,11,.636,1,2,.500,0,0,,2,2,4,2,0,0,3,2,15,-12
P.J. Washington,28:35,2,7,.286,0,2,.000,1,2,.500,0,3,3,4,0,1,2,1,5,+1
LaMelo Ball,28:14,8,15,.533,1,4,.250,0,0,,1,1,2,5,3,1,3,0,17,-9
Cody Zeller,22:37,4,9,.444,1,1,1.000,0,0,,0,3,3,4,1,0,2,3,9,-3
Miles Bridges,30:59,5,9,.556,2,4,.500,3,4,.750,2,8,10,2,1,1,4,2,15,-23
Malik Monk,23:02,2,8,.250,2,5,.400,0,0,,0,2,2,1,0,0,2,2,6,-12
Caleb Martin,17:51,0,1,.000,0,1,.000,2,2,1.000,0,2,2,0,3,0,0,1,2,-1
Bismack Biyombo,13:25,1,1,1.000,0,0,,0,0,,2,2,4,0,0,1,0,1,2,-7
Cody Martin,12:00,4,4,1.000,1,1,1.000,0,0,,1,1,2,2,2,0,1,1,9,+2
