Players,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Terry Rozier,36:28,.406,.318,.455,.273,3.1,15.0,9.1,13.5,2.6,0.0,32.8,21.4,70,117,-10.1
Gordon Hayward,34:36,.498,.412,.294,.412,3.2,22.1,12.8,16.7,1.3,0.0,4.7,25.9,111,118,-2.9
LaMelo Ball,30:07,.812,.773,.636,.273,3.7,10.9,7.3,40.0,3.1,0.0,19.6,21.6,143,116,10.6
P.J. Washington,24:01,.592,.563,.375,.125,0.0,4.5,2.3,0.0,0.0,0.0,10.6,16.7,104,124,-8.0
Cody Zeller,18:19,.556,.556,.111,.000,12.2,11.9,12.0,17.5,2.5,10.7,0.0,20.9,130,109,5.8
Malik Monk,28:10,.637,.595,.476,.190,0.0,7.7,3.9,19.7,1.7,0.0,0.0,34.4,133,120,10.0
Miles Bridges,26:38,.888,.857,.571,.286,0.0,24.6,12.4,5.3,0.0,0.0,0.0,12.6,178,121,5.1
Bismack Biyombo,26:02,.399,.000,.000,2.000,12.9,33.5,23.3,8.6,1.8,7.5,34.7,9.4,99,109,-2.7
Jalen McDaniels,15:16,1.205,1.250,.500,1.500,7.3,21.4,14.5,0.0,0.0,6.4,0.0,9.2,247,116,9.5
Cody Martin,0:21,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,125,-6.8
