Players,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Gordon Hayward,32:36,.605,.571,.500,.143,0.0,22.2,11.5,11.5,1.5,2.3,11.8,22.3,102,112,-0.1
Terry Rozier,29:24,.615,.500,.625,.500,3.3,6.2,4.8,21.0,0.0,2.6,9.3,15.7,125,120,0.6
P.J. Washington,26:49,.551,.500,.500,.200,3.7,23.6,14.0,31.0,0.0,0.0,8.4,19.0,115,116,1.3
Devonte' Graham,24:28,.577,.577,.846,.000,0.0,7.4,3.8,7.5,0.0,0.0,0.0,22.8,105,122,1.5
Bismack Biyombo,22:44,.286,.286,.000,.000,4.3,12.0,8.3,26.6,0.0,3.4,30.0,18.9,63,117,-10.1
LaMelo Ball,30:25,.346,.313,.313,.188,6.4,14.9,10.8,50.5,3.1,0.0,10.4,27.3,89,112,-1.8
Miles Bridges,23:56,.583,.583,.167,.000,0.0,18.9,9.8,0.0,0.0,0.0,33.3,16.2,63,118,-11.7
Caleb Martin,17:24,.565,.500,.500,1.250,11.3,5.2,8.1,18.1,0.0,4.4,32.6,22.7,91,119,-1.2
Jalen McDaniels,16:29,.727,.750,.333,.333,0.0,22.0,11.4,0.0,2.9,0.0,0.0,17.9,131,110,2.5
Malik Monk,9:43,.266,.000,1.000,2.000,0.0,0.0,0.0,41.2,0.0,0.0,34.7,12.7,79,124,-7.2
Nick Richards,6:02,.798,1.000,.000,2.000,16.2,30.0,23.4,0.0,0.0,0.0,0.0,13.4,168,114,0.4
