Players,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
LaMelo Ball,31:09,.933,.909,.818,.273,7.3,19.3,14.2,32.8,1.5,3.1,14.0,19.0,162,98,17.0
Gordon Hayward,26:14,.643,.643,.429,.000,0.0,22.9,13.1,28.9,3.5,3.7,30.0,15.7,106,91,4.6
P.J. Washington,25:52,.533,.444,.556,.333,0.0,19.9,11.4,16.7,3.5,3.7,27.9,22.8,87,92,-4.3
Cody Zeller,22:52,.940,1.000,.000,.750,0.0,26.2,15.0,6.9,4.0,0.0,27.3,13.2,124,91,3.2
Terry Rozier,22:07,.555,.500,.786,.214,0.0,7.8,4.4,23.1,2.1,0.0,6.1,30.4,112,103,1.0
Bismack Biyombo,20:04,.218,.167,.000,.333,17.1,0.0,7.3,13.1,0.0,4.8,22.5,18.3,71,108,-13.2
Malik Monk,19:00,.735,.700,.600,.200,6.0,4.5,5.2,10.6,2.4,5.1,21.6,30.1,108,101,4.6
Devonte' Graham,17:13,.773,.773,.818,.000,0.0,10.0,5.7,50.1,0.0,0.0,8.3,28.8,138,107,12.1
Miles Bridges,16:23,.500,.500,.500,.000,7.0,26.2,17.9,8.1,2.8,0.0,66.7,15.1,49,94,-10.7
Cody Martin,13:55,.500,.500,1.000,.000,8.2,12.3,10.6,29.1,0.0,0.0,0.0,8.9,150,106,4.6
Caleb Martin,6:53,.500,.500,.500,.000,0.0,0.0,0.0,0.0,0.0,0.0,33.3,18.0,58,111,-18.2
Nick Richards,5:04,.379,,,,0.0,16.9,9.7,0.0,0.0,0.0,0.0,10.7,81,104,-7.9
Jalen McDaniels,5:04,.000,.000,.000,.000,0.0,16.9,9.7,24.3,0.0,18.9,75.0,32.6,18,93,-25.7
Vernon Carey,4:35,,,,,0.0,37.4,21.4,0.0,0.0,0.0,100.0,9.0,0,96,-11.3
Nate Darling,3:34,.000,.000,1.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.6,0,111,-18.2
