Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Terry Rozier,44:04,8,19,.421,4,12,.333,2,3,.667,2,8,10,1,1,0,4,4,22,+9
P.J. Washington,44:03,0,7,.000,0,4,.000,0,2,.000,4,8,12,2,2,2,2,5,0,+4
Gordon Hayward,41:05,4,15,.267,1,6,.167,6,8,.750,2,4,6,3,1,0,1,2,15,+1
Devonte' Graham,39:15,9,21,.429,7,16,.438,5,5,1.000,0,1,1,3,0,0,4,4,30,-9
Bismack Biyombo,15:11,1,2,.500,0,0,,0,0,,1,3,4,2,0,0,2,1,2,-9
Miles Bridges,36:46,8,13,.615,1,5,.200,1,1,1.000,5,7,12,1,0,0,4,4,18,+7
Cody Martin,26:15,3,6,.500,0,0,,2,4,.500,2,4,6,4,2,1,1,1,8,-7
Cody Zeller,11:24,1,1,1.000,0,0,,0,0,,0,1,1,0,1,0,0,1,2,-5
Brad Wanamaker,3:46,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,1,0,-7
Caleb Martin,3:11,0,1,.000,0,0,,0,0,,0,0,0,0,1,0,1,0,0,-4
