Players,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
P.J. Washington,33:22,.857,.857,.571,.000,2.7,15.3,8.5,11.5,2.9,0.0,6.7,19.1,146,119,10.9
Jalen McDaniels,31:54,.398,.450,.300,.300,2.8,6.4,4.5,4.7,1.5,5.6,15.0,17.7,71,122,-10.3
Terry Rozier,26:06,.355,.375,.375,.125,10.2,19.6,14.6,19.2,5.6,0.0,10.6,30.7,79,112,-3.9
LaMelo Ball,23:42,.170,.100,.200,.400,0.0,17.2,8.0,50.7,0.0,0.0,7.8,22.9,75,124,-14.4
Bismack Biyombo,18:19,.500,.500,.000,.000,14.6,16.7,15.6,22.2,0.0,0.0,50.0,9.3,101,125,-6.3
Malik Monk,31:23,.625,.625,.688,.000,2.8,9.8,6.1,39.2,0.0,0.0,15.8,25.7,114,128,4.1
Caleb Martin,26:19,.451,.417,.500,.667,3.4,7.8,5.4,5.3,3.7,0.0,20.5,15.8,80,120,-7.9
Brad Wanamaker,20:24,.615,.500,.250,.500,4.4,10.0,7.0,14.1,4.7,0.0,17.0,12.3,121,117,-1.9
Cody Zeller,18:14,.661,.714,.143,.429,0.0,28.0,13.0,10.6,2.7,4.9,10.7,21.7,110,112,1.6
Vernon Carey,4:25,.000,.000,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.2,0,130,-32.5
Nate Darling,1:57,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,132,-12.5
Grant Riller,1:57,1.000,1.000,.000,.000,0.0,52.4,24.4,0.0,0.0,0.0,0.0,43.6,200,114,40.6
Nick Richards,1:57,.000,.000,.000,.000,91.2,0.0,48.7,0.0,0.0,0.0,0.0,21.8,94,132,-15.4
