Players,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Dean Wade,37:54,.333,.333,.333,.000,0.0,18.5,10.4,8.9,0.0,0.0,0.0,7.3,93,108,-6.9
Collin Sexton,33:59,.536,.441,.294,.471,3.8,5.9,5.0,20.1,0.0,0.0,0.0,27.9,125,111,-3.1
Darius Garland,29:59,.779,.750,.455,.182,0.0,3.3,1.9,49.6,3.3,2.8,4.0,38.2,152,102,22.8
Isaac Okoro,28:20,.917,.917,.500,.000,0.0,10.6,6.0,4.4,0.0,0.0,14.3,11.4,140,110,-1.2
Kevin Love,26:19,.563,.563,.375,.000,4.9,26.6,17.2,14.5,3.8,0.0,20.0,17.6,103,98,-0.9
Isaiah Hartenstein,27:13,.858,.875,.125,.375,9.5,36.7,24.9,16.2,0.0,3.1,0.0,15.8,182,101,8.2
Taurean Prince,25:43,.559,.444,.667,.889,0.0,27.2,15.4,9.5,1.9,6.5,0.0,22.5,124,97,3.0
Matthew Dellavedova,16:51,.340,.200,.600,.400,0.0,5.9,3.4,33.8,0.0,0.0,0.0,16.1,111,111,-7.5
Lamar Stevens,8:29,.773,.667,.000,.667,30.6,11.8,20.0,0.0,0.0,0.0,0.0,21.1,174,109,3.1
Brodric Thomas,5:13,.500,.500,.500,.000,24.9,19.2,21.7,0.0,0.0,0.0,50.0,35.4,63,108,-26.1
