Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Matthew Dellavedova,34:23,3,11,.273,1,6,.167,0,0,,1,2,3,10,1,0,2,3,7,-8
Dean Wade,31:38,8,12,.667,5,8,.625,0,0,,1,5,6,2,3,0,1,1,21,0
Kevin Love,31:07,6,17,.353,5,14,.357,2,3,.667,1,4,5,3,0,1,1,0,19,-3
Isaac Okoro,29:59,6,10,.600,2,4,.500,5,5,1.000,2,1,3,3,1,0,0,2,19,-3
Isaiah Hartenstein,21:39,4,7,.571,0,0,,2,2,1.000,3,3,6,1,0,1,4,6,10,-2
Cedi Osman,28:33,7,11,.636,0,2,.000,1,1,1.000,0,3,3,7,1,1,4,1,15,-10
Taurean Prince,26:27,4,11,.364,0,4,.000,3,3,1.000,1,4,5,2,0,1,3,3,11,-1
Lamar Stevens,16:51,2,3,.667,0,0,,0,1,.000,0,1,1,0,0,1,1,3,4,-9
Mfiondu Kabengele,16:28,1,3,.333,0,2,.000,0,0,,0,4,4,1,1,0,1,4,2,+1
Brodric Thomas,2:55,0,0,,0,0,,1,2,.500,0,0,0,0,0,0,0,0,1,0
