Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Larry Nance,35:22,5,6,.833,3,4,.750,0,0,,1,3,4,5,2,0,4,3,13,+21
Collin Sexton,29:20,8,15,.533,1,2,.500,5,6,.833,0,3,3,3,1,0,1,1,22,+9
Darius Garland,28:56,7,15,.467,0,3,.000,0,0,,0,0,0,7,2,0,2,2,14,+21
Andre Drummond,25:40,11,18,.611,0,0,,2,4,.500,6,8,14,3,3,2,1,1,24,+27
Kevin Love,8:50,2,6,.333,0,1,.000,0,0,,1,2,3,2,1,0,0,0,4,+2
Dante Exum,23:05,3,5,.600,0,1,.000,0,0,,1,3,4,6,2,0,1,5,6,+29
Cedi Osman,21:46,5,8,.625,2,4,.500,2,2,1.000,0,2,2,2,1,1,1,4,14,+20
Damyean Dotson,19:42,2,5,.400,1,3,.333,0,0,,0,1,1,1,1,0,2,0,5,+5
JaVale McGee,16:26,2,6,.333,1,2,.500,2,2,1.000,0,6,6,2,0,2,2,2,7,0
Dean Wade,14:25,1,4,.250,1,3,.333,0,0,,1,3,4,0,0,1,1,2,3,-7
Marques Bolden,5:54,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,0,0,2,-3
Thon Maker,5:54,1,1,1.000,0,0,,0,0,,1,1,2,0,0,0,1,2,2,-3
Lamar Stevens,4:40,0,1,.000,0,0,,2,2,1.000,0,2,2,0,0,0,0,0,2,-1
