Players,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Collin Sexton,38:28,.593,.548,.048,.190,0.0,3.7,1.5,22.9,1.3,0.0,4.2,27.6,122,136,3.4
Darius Garland,34:41,.639,.639,.056,.000,5.6,8.1,6.7,10.7,0.0,0.0,10.0,25.8,117,139,0.0
Taurean Prince,28:14,.438,.438,.375,.000,3.5,5.0,4.1,18.9,1.8,0.0,0.0,12.7,111,134,-3.7
Isaac Okoro,27:35,.200,.200,.200,.000,0.0,10.2,4.2,0.0,3.8,0.0,0.0,8.1,45,129,-11.1
Andre Drummond,22:15,.404,.308,.000,.538,8.8,19.0,13.0,13.3,0.0,0.0,15.7,38.3,81,136,-13.9
Jarrett Allen,25:45,.415,.375,.000,.125,11.4,32.9,20.2,26.3,2.0,8.3,0.0,14.6,118,123,4.8
Lamar Stevens,21:04,.595,.600,.000,.400,4.7,26.8,13.7,0.0,2.5,10.1,14.5,14.6,105,122,-0.5
Dylan Windler,19:46,.463,.333,.667,1.000,0.0,35.7,14.6,12.6,2.6,10.8,18.8,12.0,91,119,0.3
Cedi Osman,18:16,.500,.500,.222,.000,10.7,15.5,12.7,8.6,2.8,0.0,0.0,22.0,114,130,1.0
Dean Wade,3:56,.000,.000,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.7,0,140,-30.4
