Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Collin Sexton,38:56,9,19,.474,3,8,.375,2,2,1.000,1,1,2,3,1,0,1,0,23,+1
Jarrett Allen,37:01,10,11,.909,1,1,1.000,5,8,.625,6,12,18,2,0,4,1,0,26,+17
Darius Garland,35:23,4,14,.286,3,10,.300,0,0,,0,4,4,10,0,0,8,2,11,+19
Isaac Okoro,26:59,4,6,.667,2,2,1.000,0,0,,0,2,2,0,0,1,1,3,10,+7
Dean Wade,20:05,4,4,1.000,2,2,1.000,1,2,.500,0,6,6,2,0,0,0,1,11,+18
Dylan Windler,23:40,4,4,1.000,4,4,1.000,1,2,.500,0,4,4,2,0,0,0,3,13,+11
Cedi Osman,20:33,3,8,.375,1,4,.250,0,0,,0,8,8,2,1,1,1,1,7,+16
Lamar Stevens,11:18,2,5,.400,0,0,,1,1,1.000,0,0,0,2,1,1,1,4,5,-1
JaVale McGee,10:59,2,4,.500,0,0,,0,0,,1,4,5,1,1,3,3,5,4,-1
Taurean Prince,8:17,1,8,.125,0,3,.000,0,0,,3,0,3,0,0,0,0,1,2,-3
Damyean Dotson,6:49,0,2,.000,0,2,.000,0,0,,0,3,3,0,0,0,0,0,0,-4
