Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Larry Nance,36:37,3,10,.300,1,4,.250,2,2,1.000,4,7,11,6,3,0,1,1,9,+8
Collin Sexton,35:54,10,18,.556,2,5,.400,5,5,1.000,1,1,2,3,3,0,0,3,27,0
Dante Exum,34:37,3,8,.375,0,3,.000,0,0,,1,4,5,1,1,0,2,3,6,+3
Darius Garland,34:20,3,14,.214,0,3,.000,2,3,.667,0,2,2,2,1,1,5,4,8,+7
Andre Drummond,20:21,6,10,.600,0,0,,0,0,,4,7,11,0,0,0,4,2,12,-8
Cedi Osman,25:50,4,12,.333,3,9,.333,0,0,,0,4,4,2,0,0,0,1,11,+5
JaVale McGee,24:56,6,11,.545,0,0,,2,5,.400,5,4,9,4,2,1,2,4,14,+13
Damyean Dotson,13:23,3,6,.500,1,3,.333,0,0,,0,1,1,0,0,0,0,1,7,+2
Dean Wade,9:08,0,2,.000,0,2,.000,0,0,,0,1,1,0,0,0,0,1,0,+2
Thon Maker,4:54,0,0,,0,0,,2,2,1.000,0,0,0,1,0,0,1,1,2,-7
