Players,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Isaac Okoro,34:02,.507,.438,.375,.250,7.1,6.4,6.7,0.0,3.0,0.0,0.0,11.1,130,122,-0.8
Cedi Osman,32:00,.784,.773,.727,.364,3.8,3.4,3.6,9.7,4.8,0.0,13.6,19.6,146,120,12.7
Collin Sexton,29:36,.453,.412,.235,.235,0.0,14.7,7.7,32.1,1.7,0.0,17.6,32.8,97,122,-4.6
Andre Drummond,28:02,.560,.524,.000,.143,30.0,38.9,34.7,8.1,0.0,0.0,8.2,37.0,123,117,2.3
Taurean Prince,24:57,.509,.417,.500,.333,4.8,17.5,11.5,21.3,2.0,0.0,12.7,13.5,125,120,2.6
Jarrett Allen,28:52,.773,.667,.000,.667,12.5,7.6,9.9,0.0,0.0,6.0,34.0,8.7,117,125,-4.3
Darius Garland,25:38,.527,.500,.000,.100,4.7,4.3,4.5,30.6,0.0,0.0,16.1,20.7,114,130,-2.3
Dylan Windler,17:33,1.000,1.000,.000,.000,0.0,12.4,6.5,0.0,2.9,0.0,50.0,9.7,80,120,-3.3
JaVale McGee,13:13,.581,.500,.167,.333,0.0,16.5,8.6,0.0,0.0,6.6,22.5,28.6,95,122,-4.2
Damyean Dotson,6:07,.174,.000,1.000,1.000,0.0,17.8,9.3,19.6,0.0,0.0,0.0,20.1,67,124,-18.1
