Players,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Collin Sexton,43:26,.579,.520,.200,.240,3.3,9.2,6.3,37.2,3.4,0.0,17.8,32.4,115,114,3.7
Isaac Okoro,32:33,.788,.750,.000,.250,0.0,8.2,4.2,7.6,1.5,0.0,40.3,9.6,95,118,-4.6
Dean Wade,30:45,.944,.944,.889,.000,4.6,21.7,13.4,9.3,1.6,0.0,18.2,15.0,144,117,8.9
Jarrett Allen,29:01,.924,.857,.000,.714,14.6,36.8,26.0,5.0,0.0,0.0,9.8,14.7,175,119,6.6
Darius Garland,19:24,.847,.833,.444,.111,0.0,0.0,0.0,43.9,0.0,0.0,24.1,26.9,132,122,8.4
Dylan Windler,21:09,.307,.250,.500,.500,20.0,18.9,19.5,11.1,2.3,0.0,38.1,15.6,72,115,-7.9
Taurean Prince,19:18,.417,.417,.500,.000,0.0,20.7,10.7,26.2,0.0,0.0,0.0,13.0,124,120,-0.2
JaVale McGee,18:59,.714,.714,.143,.000,22.3,21.1,21.7,0.0,2.6,4.4,41.7,26.5,80,110,-8.4
Cedi Osman,17:19,.125,.125,.375,.000,0.0,30.8,15.8,13.8,0.0,0.0,11.1,21.8,45,120,-19.9
Damyean Dotson,8:06,.250,.250,.500,.000,0.0,16.5,8.5,16.0,6.0,0.0,20.0,25.9,58,107,-13.3
