Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Darius Garland,37:52,9,16,.563,2,5,.400,5,6,.833,0,4,4,6,1,0,2,5,25,+2
Collin Sexton,36:34,10,20,.500,2,5,.400,7,7,1.000,1,6,7,6,0,0,4,2,29,+19
Larry Nance,36:32,7,8,.875,2,3,.667,2,2,1.000,2,8,10,4,2,1,2,4,18,+5
Isaac Okoro,35:07,5,10,.500,0,1,.000,5,5,1.000,1,3,4,2,0,0,1,4,15,+9
Jarrett Allen,33:21,2,6,.333,0,1,.000,3,6,.500,2,5,7,1,0,1,1,0,7,+9
Cedi Osman,18:38,2,5,.400,2,4,.500,4,5,.800,0,1,1,3,2,0,3,1,10,-1
Dean Wade,16:57,3,4,.750,2,3,.667,0,0,,0,2,2,0,0,0,0,0,8,-3
JaVale McGee,11:07,2,4,.500,0,0,,1,2,.500,1,2,3,0,1,0,1,0,5,-1
Dylan Windler,10:32,0,1,.000,0,1,.000,0,0,,0,2,2,1,0,1,1,0,0,+1
Quinn Cook,3:20,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-5
