Players,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Kristaps Porziņģis,37:29,.302,.250,.500,.143,6.1,27.4,16.8,10.9,0.0,0.0,0.0,17.4,88,128,-7.9
Luka Dončić,35:50,.589,.593,.481,.370,6.4,19.1,12.8,26.5,1.4,6.2,11.3,43.2,114,122,10.1
Dorian Finney-Smith,35:24,1.000,1.000,.727,.000,6.5,6.5,6.5,4.8,0.0,2.1,8.3,14.8,182,132,11.2
Josh Richardson,27:10,.389,.389,.556,.000,4.2,4.2,4.2,5.2,0.0,0.0,18.2,17.7,77,134,-12.6
Maxi Kleber,21:24,.000,.000,1.000,.000,5.3,10.7,8.0,0.0,0.0,3.5,40.0,10.2,15,129,-18.5
Jalen Brunson,30:52,.850,.900,.300,.400,3.7,11.1,7.4,23.4,1.6,0.0,20.3,20.9,141,129,5.7
Tim Hardaway,24:12,.368,.300,.800,.200,0.0,14.2,7.1,0.0,0.0,3.1,15.5,23.3,68,129,-13.0
Dwight Powell,16:41,.000,.000,.000,.000,6.9,20.6,13.7,14.8,3.0,8.9,0.0,2.6,124,115,3.1
Willie Cauley-Stein,5:16,1.064,1.000,.000,2.000,0.0,65.1,32.5,0.0,0.0,0.0,0.0,15.6,226,119,11.3
J.J. Redick,4:43,.000,.000,1.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.3,0,135,-21.7
Nicolò Melli,0:59,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,135,-7.7
