Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Luka Dončić,37:54,8,20,.400,4,12,.333,4,6,.667,0,8,8,8,0,0,4,2,24,-19
Dorian Finney-Smith,33:00,4,9,.444,2,7,.286,0,0,,4,3,7,4,2,1,1,3,10,-14
Tim Hardaway,28:53,8,20,.400,3,12,.250,0,0,,0,1,1,2,0,0,0,3,19,-20
Dwight Powell,12:41,2,4,.500,0,0,,1,2,.500,1,3,4,0,0,0,1,2,5,-17
Maxi Kleber,9:42,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,1,0,2,-12
Trey Burke,28:13,8,14,.571,3,7,.429,0,0,,1,1,2,5,2,0,0,1,19,+13
Willie Cauley-Stein,26:47,4,6,.667,0,0,,0,3,.000,3,4,7,0,3,1,1,1,8,+6
Nicolò Melli,20:26,0,3,.000,0,2,.000,0,0,,2,4,6,1,1,0,1,1,0,+4
Jalen Brunson,17:43,3,9,.333,0,2,.000,1,1,1.000,1,0,1,3,0,0,0,0,7,+5
Josh Green,16:09,1,2,.500,0,0,,0,0,,1,2,3,1,1,0,0,1,2,+15
Boban Marjanović,8:32,4,4,1.000,0,0,,2,2,1.000,1,0,1,0,0,0,1,1,10,+4
